ID,Text,Comment
Faction.Splicetails.DisplayName,Splicetails,
Faction.Splicetails.Description,"Masters of bio-engineering, the Splicetails have learned to weave sunlight into living wood. Their genetically modified trees drink in solar energy, powering their settlements without a single turning blade.",
Faction.Splicetails.GameOver.Message,The grove has fallen silent.,
Faction.Splicetails.GameOver.Flavor,"Without the Splicetails' careful tending, the spliced trees return to dormancy — and the colony fades with them.",
Faction.Splicetails.WonderCompletionMessage,The Great Canopy is complete!,
Faction.Splicetails.WonderCompletionFlavor,"Sunlight flows through every branch, and the Splicetails have achieved what nature never could alone.",
Building.SplicedGrove.DisplayName,Spliced Grove,
Building.SplicedGrove.Description,A bio-engineered tree that converts sunlight directly into mechanical power. Unlike windmills it generates power in any weather.,
Building.SplicedGrove.FlavorDescription,"The Splicetails found the wind unreliable. So they changed the trees instead.",
Building.LargeSplicedGrove.DisplayName,Large Spliced Grove,
Building.LargeSplicedGrove.Description,A towering bio-engineered tree with an expanded canopy for maximum solar energy capture. Produces twice the power of a standard Spliced Grove.,
Building.LargeSplicedGrove.FlavorDescription,"Centuries of patience encoded in a single afternoon of splicing.",
NaturalResource.SplicedTree.DisplayName,Spliced Tree,
NaturalResource.SplicedTree.Description,A bio-engineered tree that generates mechanical power when alive and mature. It must be kept watered to remain productive.,
NaturalResource.SplicedTree.FlavorDescription,"Not grown — engineered. Every cell in its trunk is a living solar converter, quietly turning light into motion.",
Building.SplicetailsForester.DisplayName,Splice Nursery,
Building.SplicetailsForester.Description,Plants Spliced Trees in the surrounding area using Spliced Seeds. Spliced Trees generate mechanical power when mature and healthy.,
Building.SplicetailsForester.FlavorDescription,"Part workshop, part garden. The beavers here tend saplings with the same care others give to machines.",
Building.Splicer.DisplayName,Splicer,
Building.Splicer.Description,Assigns beavers to apply Mutagenic Serum to trees marked with the serum application tool. Mutated trees produce SplicedSeeds.,
Building.Splicer.FlavorDescription,"One drop of serum. One spliced tree. One kilowatt of hope.",
Building.GeneLab.DisplayName,Gene Lab,
Building.GeneLab.Description,"Produces Mutagenic Serum from Badwater, and converts harvested seeds (PineCones, Acorns, Burrs) into SplicedSeeds for the Splice Nursery.",
Building.GeneLab.FlavorDescription,"The process smells terrible. The results are remarkable.",
Good.MutagenicSerum.DisplayName,Mutagenic Serum,
Good.MutagenicSerum.PluralDisplayName,Mutagenic Serum,
Good.SpecialSeed.DisplayName,Special Seed,
Good.SpecialSeed.PluralDisplayName,Special Seeds,
Good.SplicedSeed.DisplayName,Spliced Seed,
Good.SplicedSeed.PluralDisplayName,Spliced Seeds,
Manufactory.Recipe.MutagenicSerum,Badwater → 2× Mutagenic Serum,
Manufactory.Recipe.SplicedSeed.SpecialSeed,Special Seed → Spliced Seed,
Tool.SeumApplicationArea.Title,Mark serum application area,
Tool.SeumApplicationArea.Description,Mark areas where Splicer workers will apply Mutagenic Serum to mutate trees.,
Tool.SeumApplicationAreaRemove.Title,Unmark serum application area,
Tool.SeumApplicationAreaRemove.Description,Remove areas from the serum application zone.,
Building.UndergroundLodge.DisplayName,Underground Burrow,
Building.UndergroundLodge.Description,A subterranean lodge housing 20 beavers. Built largely underground — the surface footprint can support crops and structures. Do not build over the entrance hatch.,
Building.UndergroundLodge.FlavorDescription,The colony digs deep. Warmth below the scorched earth.,
Building.Lodge.DisplayName,Burrow Lodge,
Building.Lodge.Description,A cozy underground burrow housing three beavers.,
Building.Lodge.FlavorDescription,Home is where the roots hold.,
Building.MiniLodge.DisplayName,Mini Burrow,
Building.MiniLodge.Description,A compact underground burrow for one or two beavers.,
Building.MiniLodge.FlavorDescription,Small space big dreams.,
Tutorial.Splicetails.Housing,Splicetails Housing,
Tutorial.Splicetails.Housing.BuildLodge,"The Splicetails dig in. Build 3 Burrow Lodges to house your growing colony. Each lodge fits three beavers and stays cool even under the scorching sun.",
Tutorial.Splicetails.Housing.BuildUndergroundLodge,"The Underground Burrow is your faction's crown jewel — a subterranean lodge that houses 20 beavers. Its surface footprint is still usable for crops. Build one to unlock your colony's full housing potential.",
Tutorial.Splicetails.Power,Splicetails Power,
Tutorial.Splicetails.Power.BuildSplicedGrove,"The Splicetails do not trust the wind. Build a Spliced Grove — a bio-engineered tree that converts sunlight directly into mechanical power. It generates power in any weather as long as it has water.",
Tutorial.Splicetails.Mutation,Tree Mutation,
Tutorial.Splicetails.Mutation.BuildSplicer,"The Splicer is the core of the Splicetails' power loop. Workers here apply Mutagenic Serum to trees you have marked, mutating them into spliced trees that produce Spliced Seeds. Build a Splicer to get started.",
Tutorial.Splicetails.Mutation.BuildGeneLab,"The Gene Lab synthesizes Mutagenic Serum from Badwater, and converts raw seeds into Spliced Seeds for the Splice Nursery. Without it the serum chain stops. Build a Gene Lab.",
Tutorial.Splicetails.Mutation.BuildSpliceNursery,"The Splice Nursery plants Spliced Trees using Spliced Seeds produced by the mutation chain. Each mature Spliced Tree generates mechanical power for your colony. Build a Splice Nursery and close the loop.",
ToolGroups.TreeCutting,Mark Trees,
